KMeans100-SciBert	KMeans130-BioBert	HierClust80-SciBert	HierClust100-BioBert	GMM_BioBert
70	108	0	21	3
70	108	0	21	3
70	108	0	21	3
70	108	0	21	3
70	108	0	21	3
89	86	42	42	3
70	108	42	42	3
50	78	30	2	49
86	108	11	25	49
96	78	11	25	49
96	108	11	25	49
96	108	20	9	6
96	11	20	9	6
96	11	20	9	6
70	108	12	17	6
75	78	53	26	3
49	78	73	73	21
70	108	35	35	88
59	78	55	27	12
78	108	32	3	12
70	108	5	20	16
70	108	5	20	49
70	108	54	54	82
19	108	32	3	3
70	78	5	86	49
70	78	5	86	49
8	78	21	10	3
19	11	77	77	40
19	86	26	5	25
8	86	0	21	3
19	86	17	1	3
19	86	17	1	22
36	78	60	60	22
70	78	37	37	3
19	78	53	26	49
70	78	37	37	3
70	78	53	26	3
50	78	7	91	6
89	78	4	43	6
1	78	47	56	49
78	108	32	3	3
49	78	1	81	6
52	11	4	43	6
19	86	26	5	3
73	108	69	69	65
78	108	32	3	49
8	108	2	97	40
19	108	8	18	22
8	86	38	8	40
8	78	38	8	22
8	86	38	8	40
8	78	38	8	40
8	78	38	8	40
19	78	46	46	3
19	78	46	46	3
19	108	46	46	3
19	108	46	46	3
19	108	8	18	6
19	108	8	18	22
96	108	20	9	22
19	108	20	9	6
19	11	20	9	6
8	108	66	66	6
19	108	20	9	40
75	78	2	97	26
19	78	63	63	25
65	78	70	70	40
8	78	70	70	51
19	78	20	9	40
19	108	20	9	3
19	78	2	97	22
75	78	68	68	6
0	10	68	68	30
70	108	5	20	82
70	108	5	20	49
70	108	54	54	49
70	108	54	54	49
89	78	6	31	21
70	108	54	54	49
19	11	26	5	3
19	78	46	46	3
70	78	45	45	3
19	78	23	47	3
70	78	22	22	65
70	78	32	3	3
94	78	58	58	6
75	108	72	72	34
7	108	51	12	49
96	78	51	12	49
70	108	77	77	3
8	16	0	21	3
8	86	17	1	3
50	78	7	91	6
52	78	34	16	49
52	78	34	16	34
1	78	47	56	49
88	78	40	40	6
32	78	40	40	6
21	78	76	76	59
19	78	46	46	40
19	78	46	46	40
19	78	46	46	40
19	108	46	46	25
19	78	46	46	40
19	108	46	46	40
19	86	46	46	3
19	78	46	46	3
19	16	46	46	40
19	86	17	1	40
8	78	28	28	25
19	108	17	1	40
8	86	61	61	40
19	86	61	61	25
19	86	46	46	40
19	78	46	46	40
19	78	46	46	3
19	78	20	9	22
19	78	63	63	25
19	78	20	9	22
8	78	70	70	40
19	78	20	9	22
19	78	20	9	22
75	108	20	9	22
75	108	20	9	22
8	10	68	68	30
8	78	68	68	30
75	108	20	9	59
94	108	20	9	40
19	78	20	9	22
8	16	46	46	40
70	108	54	54	82
75	108	32	3	23
61	108	1	81	3
1	78	4	43	6
89	108	1	81	49
8	78	26	5	3
80	78	45	45	49
73	86	36	36	82
59	78	10	78	3
59	86	39	39	3
70	86	46	46	3
70	108	46	46	82
19	78	46	46	6
70	86	46	46	49
70	78	39	39	49
70	86	46	46	49
70	108	46	46	3
19	78	46	46	6
70	108	10	88	3
59	78	55	27	12
75	78	22	22	3
79	78	48	11	34
89	78	6	31	21
24	78	73	73	21
70	78	33	33	82
79	74	22	22	59
70	78	5	20	49
49	108	72	72	34
24	78	63	63	40
19	16	46	46	25
3	108	63	63	15
19	78	2	97	25
65	11	20	9	51
75	108	20	9	59
8	78	70	70	40
75	108	20	9	3
8	78	68	68	30
75	78	68	68	6
8	108	68	68	30
12	78	51	12	49
43	108	11	25	59
70	108	5	20	49
56	108	51	12	49
34	11	7	53	63
89	78	9	4	63
8	108	29	29	3
8	78	26	5	3
70	108	46	46	3
8	86	29	29	3
19	86	26	5	3
70	108	46	46	3
8	86	26	5	3
70	78	45	45	49
70	86	17	1	90
19	78	28	28	3
19	108	0	21	3
70	108	77	77	3
19	86	77	77	3
70	86	17	1	3
19	108	0	21	3
8	108	46	46	40
8	108	46	46	40
8	108	46	46	40
8	78	46	46	25
8	78	46	46	25
8	78	46	46	25
19	16	46	46	40
8	78	46	46	25
8	86	28	28	25
19	78	17	1	40
8	78	46	46	40
8	86	61	61	40
8	78	61	61	40
19	86	17	1	40
8	86	46	46	40
19	16	46	46	40
19	78	20	9	22
75	78	63	63	25
8	10	70	70	40
94	78	20	9	40
19	108	20	9	59
19	78	20	9	22
75	108	20	9	22
75	108	20	9	22
19	108	20	9	6
8	78	68	68	30
8	78	68	68	30
19	78	3	90	84
8	78	3	90	84
12	78	3	90	84
19	78	0	21	3
70	108	77	77	3
19	86	28	28	3
19	86	17	1	40
70	108	5	20	3
70	108	5	20	3
80	78	31	15	49
70	108	5	20	65
70	108	5	20	82
70	108	31	15	82
49	78	73	73	21
1	78	47	56	82
89	78	15	48	12
79	78	14	34	6
50	78	14	34	6
89	78	15	48	6
59	78	39	39	82
70	108	42	42	3
70	108	26	5	3
70	78	37	37	3
70	86	17	1	90
70	108	0	21	3
59	78	21	10	3
70	78	67	67	3
89	78	39	39	3
70	78	49	49	3
89	11	12	17	6
70	78	12	17	6
85	78	12	17	42
89	108	12	17	65
70	78	12	17	6
38	78	42	42	49
89	86	79	79	6
34	78	9	4	63
50	108	7	91	12
52	108	5	20	49
70	108	46	46	3
70	86	0	21	3
70	86	17	1	3
70	108	77	77	3
19	78	63	63	25
8	11	66	66	6
8	78	66	66	30
8	78	66	66	49
49	78	7	53	49
75	78	1	81	34
79	78	4	43	50
32	108	65	65	6
75	108	15	51	6
89	108	47	56	6
24	78	63	63	25
3	78	63	63	15
24	78	63	63	25
19	78	20	9	22
19	78	20	9	22
19	78	20	9	22
8	78	68	68	6
8	108	70	70	40
19	108	20	9	40
19	78	20	9	40
16	78	68	68	30
8	78	68	68	30
19	78	46	46	3
19	78	37	37	3
19	108	46	46	3
8	78	17	1	40
8	78	28	28	3
52	78	11	25	28
7	108	22	22	56
89	78	9	4	49
70	108	54	54	49
8	78	26	5	3
8	86	21	10	3
8	78	21	10	23
19	78	38	8	40
19	78	38	8	40
19	86	28	28	3
76	78	50	50	23
98	78	54	54	49
73	78	31	15	82
98	108	9	4	49
50	78	54	54	82
50	78	7	53	49
98	78	36	36	3
50	78	54	54	49
78	108	32	3	49
32	78	76	76	6
19	11	46	46	3
70	108	12	17	3
70	11	0	21	3
70	108	17	1	3
24	78	63	63	25
75	78	63	63	15
75	78	63	63	25
8	78	70	70	40
19	78	20	9	22
8	78	70	70	40
19	78	20	9	40
19	78	20	9	22
19	78	20	9	3
8	78	68	68	6
19	78	68	68	6
8	78	68	68	30
19	108	46	46	3
19	78	0	21	3
19	78	46	46	40
19	86	17	1	40
8	108	28	28	25
19	78	20	9	22
50	78	7	91	6
49	78	1	81	34
68	78	35	35	34
12	78	51	12	49
8	78	22	22	3
52	78	34	16	49
89	108	1	81	49
75	108	1	81	34
8	78	63	63	23
8	108	68	68	30
8	78	68	68	30
70	108	77	77	90
70	108	77	77	3
19	78	17	1	90
8	86	17	1	3
8	86	61	61	3
19	86	0	21	3
19	86	0	21	3
70	78	0	21	3
19	78	46	46	3
70	108	53	26	3
19	78	53	26	3
70	78	26	5	3
19	78	26	5	3
70	78	26	5	3
70	108	26	5	3
75	78	0	21	3
73	78	69	69	6
73	78	69	69	6
5	78	18	94	82
73	78	69	69	6
73	78	69	69	6
5	78	18	94	82
70	78	10	88	3
18	108	65	65	6
8	78	29	29	25
19	78	26	5	3
19	78	26	5	3
19	78	17	1	3
19	78	17	1	3
79	78	8	93	6
8	78	40	40	6
19	108	8	18	6
19	78	2	97	6
19	108	8	93	6
22	108	48	11	49
22	108	48	11	34
19	78	46	46	3
19	108	46	46	3
19	108	77	77	3
19	78	46	46	3
19	78	46	46	3
8	86	61	61	3
19	78	78	38	3
19	78	46	46	3
19	78	46	46	3
19	108	46	46	3
19	78	46	46	3
19	108	46	46	3
8	108	61	61	3
19	78	78	38	22
19	78	8	93	6
52	108	8	93	6
89	108	47	56	6
73	78	69	69	6
76	78	6	92	65
59	78	10	88	3
80	78	45	45	49
59	78	10	88	3
80	78	45	45	49
59	78	39	39	82
78	78	25	55	3
98	108	36	36	82
70	108	12	17	6
50	108	14	34	42
50	108	14	34	12
65	108	33	33	6
50	78	14	34	6
89	78	33	33	59
32	108	33	33	65
50	78	7	53	1
16	78	33	33	12
88	108	33	33	6
50	78	7	53	34
52	78	11	25	34
35	78	51	12	49
49	78	51	12	49
12	78	23	47	49
70	78	25	55	3
70	108	5	20	82
70	108	5	20	49
70	108	5	86	82
70	78	67	67	3
59	78	55	27	49
74	78	30	2	65
70	108	54	54	49
19	78	51	12	49
12	78	51	12	49
19	78	63	63	25
79	78	72	72	6
8	108	72	72	40
96	11	72	72	6
34	108	72	72	6
7	108	72	72	56
19	10	48	11	40
70	78	23	47	49
19	78	23	47	3
8	86	29	29	40
19	86	17	1	90
8	78	2	97	25
19	78	27	0	25
19	78	27	0	6
8	78	16	7	49
19	108	16	7	49
8	108	16	7	23
19	78	16	7	3
19	108	16	7	22
70	108	16	7	3
19	78	16	7	22
19	78	16	7	22
70	108	16	7	22
70	78	16	7	22
70	108	17	1	3
19	78	37	37	3
70	78	10	88	3
70	78	23	47	3
75	78	45	45	49
70	78	23	47	3
70	78	35	35	3
59	78	23	85	3
70	108	5	20	3
8	78	2	97	25
19	78	27	0	25
19	78	27	0	6
8	78	16	7	23
8	78	16	7	56
19	78	16	7	3
19	78	16	7	3
19	108	16	7	22
19	78	16	7	3
70	108	17	1	3
8	78	16	7	23
19	78	16	7	3
8	78	16	7	40
70	78	16	7	22
19	78	37	37	3
70	108	26	5	25
24	78	3	30	90
70	108	26	5	25
19	86	17	1	3
70	108	78	38	22
80	108	78	38	90
70	78	30	2	22
19	108	77	77	3
19	86	17	1	3
70	78	53	26	3
70	108	39	39	3
70	78	10	78	3
70	78	10	88	3
56	78	51	12	48
8	78	46	46	40
19	78	0	21	3
8	11	46	46	25
19	78	46	46	40
19	78	46	46	40
19	78	46	46	23
19	78	46	46	23
8	78	46	46	40
70	78	0	21	3
8	16	46	46	25
19	78	46	46	40
19	78	46	46	40
19	78	46	46	23
19	78	46	46	23
8	86	17	1	40
19	11	0	21	3
8	16	46	46	40
8	78	17	1	40
8	78	63	63	25
8	108	70	70	40
8	108	68	68	30
8	78	68	68	30
8	108	68	68	30
19	78	20	9	22
19	78	20	9	22
8	78	68	68	30
19	11	20	9	30
8	78	68	68	6
75	11	20	9	6
75	11	20	9	6
75	11	20	9	22
8	11	20	9	22
75	11	20	9	22
19	78	20	9	50
22	78	48	11	34
8	108	48	11	40
8	108	48	11	56
19	78	46	46	40
19	16	37	37	3
19	11	46	46	3
19	78	46	46	40
19	78	37	37	3
19	78	46	46	3
8	86	17	1	40
19	78	46	46	40
19	78	63	63	25
16	108	68	68	6
8	108	68	68	30
22	108	48	11	56
22	78	48	11	22
7	78	48	11	56
8	78	46	46	40
19	78	37	37	3
19	78	46	46	3
86	108	56	6	6
34	108	56	6	63
34	108	56	6	63
34	108	56	6	57
34	108	56	6	57
50	108	14	34	82
19	108	22	22	3
22	78	34	16	34
52	11	4	43	25
19	86	29	29	90
19	86	29	29	90
70	86	29	29	90
70	86	29	29	90
59	78	0	21	3
19	86	28	28	3
19	86	28	28	3
70	86	38	8	6
70	86	38	8	6
70	86	38	8	6
19	86	38	8	3
19	86	38	8	3
19	86	38	8	3
70	86	38	8	6
70	86	38	8	6
70	86	38	8	6
19	86	38	8	3
19	86	38	8	3
19	86	38	8	3
70	86	38	8	6
70	86	38	8	6
70	86	38	8	6
76	78	6	92	65
59	78	23	85	3
89	78	34	16	82
50	78	7	53	34
19	78	51	12	6
27	78	15	48	6
19	86	26	5	3
19	86	26	5	3
19	86	17	1	3
19	78	17	1	3
19	86	46	46	3
19	78	46	46	3
19	78	78	38	3
8	86	61	61	3
70	86	17	1	3
19	108	77	77	3
79	78	8	93	6
8	78	40	40	6
19	11	8	18	6
19	78	2	97	6
19	108	8	93	6
22	108	48	11	49
22	108	48	11	34
19	78	46	46	3
19	78	46	46	3
19	78	78	38	22
8	108	61	61	3
19	86	46	46	3
19	108	46	46	3
19	78	46	46	3
19	108	46	46	3
52	78	8	93	6
19	78	8	93	6
19	78	46	46	3
19	78	46	46	3
70	108	31	15	49
70	78	79	79	49
70	78	22	22	1
70	108	54	54	49
76	78	6	92	65
89	78	33	33	34
61	78	23	47	3
96	78	23	47	34
75	78	39	39	34
22	78	34	16	34
89	108	48	11	34
75	78	48	11	34
75	108	48	11	34
8	78	66	66	40
75	11	66	66	20
19	11	66	66	3
8	78	66	66	40
8	78	66	66	40
52	78	66	66	6
19	11	66	66	3
19	78	66	66	30
70	86	77	77	3
8	78	29	29	3
70	78	17	1	3
19	86	37	37	25
19	11	2	97	6
19	108	2	97	6
19	86	26	5	3
19	86	0	21	3
70	108	17	1	3
70	78	28	28	3
70	78	0	21	3
59	78	25	55	3
70	108	10	88	3
70	108	45	45	90
70	78	71	71	82
98	86	36	36	22
59	108	49	49	22
65	108	70	70	51
8	108	70	70	51
8	108	70	70	30
8	108	70	70	30
0	78	68	68	30
19	78	68	68	30
24	78	63	63	49
24	78	63	63	49
59	78	10	78	3
59	78	25	55	3
70	78	71	71	82
59	78	25	99	49
59	78	10	78	3
59	78	25	55	3
70	78	71	71	82
59	78	25	99	49
8	78	21	10	25
19	78	21	10	3
19	108	21	10	3
19	78	21	10	3
19	78	21	10	3
19	78	21	10	3
19	108	21	10	3
19	78	21	10	3
19	78	21	10	3
19	78	21	10	3
8	78	40	40	6
61	78	73	73	22
80	78	50	50	49
70	78	31	15	3
70	108	31	15	82
96	78	45	45	49
70	108	25	55	3
8	78	2	82	6
32	78	2	82	3
19	108	2	82	6
70	108	31	15	3
70	108	31	15	3
61	78	45	45	49
70	108	31	15	49
59	108	31	15	49
59	78	10	78	3
70	108	42	42	82
70	78	67	67	65
70	78	71	71	82
59	78	25	55	3
75	78	22	22	49
19	108	53	26	25
70	78	23	85	3
70	108	54	54	3
80	78	30	2	82
19	78	22	22	50
19	78	22	22	50
19	78	22	22	50
19	78	22	22	50
52	78	4	32	6
8	86	29	29	90
70	86	17	1	3
19	86	28	28	3
19	78	46	46	3
19	78	38	8	3
70	78	38	8	3
70	78	38	8	3
8	78	38	8	40
8	78	38	8	40
8	78	38	8	40
19	78	38	8	3
8	78	38	8	22
8	78	38	8	40
19	78	38	8	40
8	78	38	8	40
8	78	38	8	40
8	78	38	8	40
8	78	38	8	40
8	78	38	8	40
75	78	16	7	49
59	78	23	85	3
70	78	39	39	3
70	108	5	86	3
48	108	76	76	49
70	108	5	20	49
70	78	36	36	3
70	108	49	49	3
70	108	32	3	3
79	108	14	96	6
59	78	23	85	3
70	78	25	55	3
59	78	23	85	3
70	78	25	55	3
89	78	39	39	49
73	78	71	71	3
18	78	76	76	49
70	78	67	67	49
70	78	36	36	22
70	108	49	49	3
70	78	32	3	6
52	108	66	66	49
79	108	14	96	6
19	101	26	5	3
70	78	45	45	49
34	78	54	54	6
89	78	79	79	49
34	78	54	54	49
50	108	54	54	63
98	78	79	79	6
70	78	45	45	3
70	78	25	55	3
70	108	5	86	3
89	78	79	79	49
18	78	22	22	50
19	86	77	77	90
19	86	17	1	3
8	86	28	28	3
19	78	28	28	3
70	108	77	77	3
8	78	21	10	3
80	86	78	38	90
19	86	61	61	90
24	78	3	30	34
24	78	63	63	3
8	78	46	46	25
61	108	48	11	34
8	86	29	29	3
8	86	29	29	3
8	86	29	29	3
59	78	0	21	49
19	86	28	28	3
8	86	28	28	3
8	78	68	68	30
8	78	70	70	40
75	78	22	22	27
8	10	0	80	40
86	108	34	16	6
65	108	70	70	51
76	78	3	90	23
75	78	22	22	50
12	78	51	12	49
24	78	63	63	49
65	108	70	70	51
0	78	68	68	30
8	108	70	70	30
79	108	4	43	6
52	11	11	41	6
52	11	11	41	28
79	108	4	32	30
19	78	22	22	3
38	78	4	43	82
50	108	4	43	6
52	11	4	43	25
61	78	22	22	28
96	78	35	35	49
70	78	23	85	3
70	108	79	79	49
59	78	5	84	49
50	78	7	53	49
43	108	18	13	49
98	108	36	36	22
32	11	76	76	6
50	108	79	79	22
34	108	36	36	48
89	108	12	17	6
96	11	35	35	28
19	108	21	10	3
34	78	54	54	6
34	108	54	54	49
50	108	54	54	59
50	108	54	54	49
76	78	50	50	65
74	11	33	33	65
50	78	47	56	65
78	78	32	3	22
50	78	35	35	42
50	86	14	34	72
89	11	1	23	6
24	78	3	30	49
8	86	29	29	40
8	86	29	29	40
19	86	17	1	90
19	86	17	1	90
8	86	28	28	3
8	86	28	28	3
19	108	77	77	3
70	108	77	77	3
24	78	3	30	49
8	86	29	29	40
8	86	29	29	40
8	86	17	1	40
8	86	17	1	40
8	78	28	28	3
8	78	28	28	3
19	78	77	77	3
70	108	77	77	3
8	86	38	8	40
19	108	46	46	3
19	86	46	46	3
19	78	46	46	22
19	78	46	46	3
70	78	17	1	3
19	78	0	21	3
19	108	28	28	3
19	86	46	46	3
19	86	0	21	3
19	78	38	8	40
8	11	48	11	40
19	78	63	63	25
65	108	70	70	51
19	11	20	9	84
75	78	20	9	59
59	78	23	85	3
70	78	67	67	3
70	78	71	71	82
89	78	25	55	49
70	78	45	45	49
50	108	54	54	49
75	108	32	3	34
8	11	2	97	40
89	78	2	82	6
89	78	2	82	6
89	78	2	82	6
8	78	2	97	40
19	108	2	97	40
5	78	2	82	49
75	78	2	82	49
19	78	26	5	3
70	78	17	1	3
79	78	8	93	6
19	11	8	18	6
19	78	2	97	6
19	86	26	5	3
19	78	46	46	3
19	86	46	46	3
70	108	17	1	3
89	108	34	16	49
19	78	26	5	3
19	78	46	46	3
19	86	46	46	3
19	108	77	77	3
75	108	46	46	3
8	86	61	61	3
80	78	78	38	22
50	78	50	50	65
22	78	51	12	49
52	78	51	12	49
12	78	51	12	49
80	78	35	35	82
52	78	4	32	6
89	11	11	25	6
19	86	17	1	3
19	86	26	5	3
24	78	63	63	49
19	86	77	77	90
19	86	17	1	3
70	108	77	77	3
8	86	28	28	3
8	78	28	28	3
80	86	78	38	90
19	86	61	61	3
19	86	29	29	90
19	86	29	29	90
70	86	77	77	90
19	108	26	5	3
70	78	17	1	90
19	86	17	1	3
19	78	46	46	90
70	108	0	21	3
19	78	36	36	4
19	11	11	41	6
1	44	47	56	82
19	108	0	21	3
8	86	0	21	40
70	86	38	8	3
70	108	53	26	3
19	78	28	28	3
98	78	36	36	6
75	78	30	2	6
94	108	30	2	59
34	78	54	54	49
78	86	10	78	3
59	78	10	78	3
70	78	67	67	3
70	78	25	55	3
80	108	45	45	90
7	78	51	12	49
86	78	51	12	28
89	108	79	79	49
16	78	22	22	1
19	78	63	63	25
8	78	46	46	3
19	78	21	10	3
19	78	46	46	3
8	78	28	28	25
19	78	17	1	40
8	86	61	61	25
19	86	17	1	40
8	78	29	29	40
19	78	66	66	3
19	78	8	18	3
19	78	21	10	3
19	78	2	97	6
70	78	23	85	3
70	78	5	86	49
70	78	45	45	49
70	78	5	86	3
59	78	25	55	3
79	108	58	58	49
50	108	58	58	49
98	78	58	58	49
70	108	58	58	49
70	78	58	58	49
70	78	67	67	6
78	108	32	3	3
70	78	54	54	49
70	108	58	58	49
73	78	39	39	82
70	78	5	20	6
49	108	11	25	22
56	78	51	12	49
52	78	51	12	49
52	78	51	12	49
49	78	51	12	49
70	108	0	21	3
70	108	0	21	3
19	86	17	1	90
70	108	53	26	6
70	78	0	21	90
19	86	17	1	90
70	108	53	26	6
70	78	0	21	90
70	74	32	3	3
70	78	67	67	82
70	108	32	3	3
78	86	32	3	22
78	108	13	98	6
99	78	40	40	6
19	78	46	46	3
19	78	21	10	3
70	78	45	45	49
8	86	37	37	25
19	78	63	63	25
19	86	26	5	3
49	78	78	38	3
8	11	29	29	3
19	78	38	8	3
70	108	17	1	3
19	108	37	37	3
8	86	28	28	3
52	78	27	0	6
19	11	52	52	6
19	78	40	40	6
19	78	48	11	6
70	108	77	77	3
19	78	63	63	56
8	78	16	7	40
19	86	26	5	3
8	86	37	37	25
19	86	26	5	3
49	78	78	38	3
19	108	38	8	3
70	108	17	1	3
19	108	37	37	3
48	108	52	52	6
21	78	40	40	6
19	78	48	11	6
70	108	77	77	3
19	78	16	7	40
99	11	1	23	49
99	78	1	23	6
70	108	23	85	3
70	78	67	67	49
70	78	39	39	49
59	78	5	20	12
78	78	32	3	49
70	78	71	71	3
59	78	23	85	3
70	108	45	45	90
70	78	67	67	3
59	78	39	39	3
12	78	51	12	28
12	78	51	12	49
12	78	51	12	49
12	78	5	84	49
70	108	5	20	3
70	78	23	85	3
59	78	25	55	3
89	86	29	29	49
80	78	31	15	49
70	78	67	67	49
96	78	72	72	49
22	78	48	11	49
70	108	10	88	3
80	78	45	45	90
78	86	32	3	22
73	78	71	71	82
8	11	66	66	3
52	78	48	11	6
79	108	14	96	6
49	78	3	90	21
19	108	53	26	3
19	78	53	26	3
19	108	53	26	3
19	78	53	26	3
19	108	53	26	40
19	108	53	26	40
19	108	28	28	25
70	108	0	21	3
52	78	34	16	34
59	78	23	85	3
59	78	39	39	3
59	78	25	55	3
19	78	23	47	3
76	78	73	73	22
70	78	23	47	22
70	78	35	35	49
49	108	35	35	49
70	78	35	35	3
70	108	35	35	49
70	78	35	35	49
70	108	35	35	22
96	108	51	12	49
70	108	35	35	22
19	78	62	14	49
8	78	2	97	40
8	78	21	10	3
70	78	26	5	3
8	108	21	10	3
7	108	66	66	6
24	78	3	30	49
49	108	35	35	49
19	108	40	40	6
96	11	4	43	6
32	11	62	14	6
73	78	4	32	25
25	78	40	40	6
59	108	23	85	3
19	108	26	5	25
8	78	46	46	23
8	86	17	1	40
8	86	28	28	3
19	11	77	77	40
19	108	51	12	3
19	78	5	86	49
59	78	23	85	3
70	108	12	17	49
78	108	32	3	3
89	108	79	79	6
96	78	11	25	49
49	78	3	30	49
19	78	53	26	3
8	86	26	5	3
19	78	17	1	3
19	86	37	37	3
70	108	38	8	3
12	78	1	81	6
12	78	23	85	49
70	78	5	20	49
12	78	5	84	49
70	78	45	45	49
70	78	25	55	3
8	11	66	66	23
8	11	66	66	40
19	11	66	66	22
8	10	46	46	40
8	11	66	66	22
8	11	66	66	22
8	78	66	66	22
8	11	66	66	30
8	86	46	46	40
8	78	46	46	3
70	108	69	69	6
70	78	38	8	22
70	11	38	8	49
50	78	14	34	82
8	16	28	28	3
8	16	28	28	3
8	86	28	28	3
19	16	28	28	3
19	86	28	28	3
8	86	28	28	3
19	86	28	28	3
8	78	0	21	3
8	78	0	21	3
70	78	31	15	3
70	108	77	77	3
19	86	28	28	3
19	86	28	28	3
19	86	28	28	3
19	86	28	28	3
19	78	28	28	3
19	86	28	28	3
19	78	28	28	3
19	86	28	28	3
19	86	28	28	3
19	86	28	28	3
19	86	28	28	3
19	86	28	28	3
19	108	0	21	3
70	78	13	98	3
8	78	0	21	3
38	78	22	22	50
3	78	63	63	25
75	78	20	9	3
8	78	70	70	30
8	78	70	70	51
19	86	28	28	3
8	78	0	21	3
70	78	13	98	49
19	86	0	21	3
8	78	0	21	3
38	78	22	22	50
3	78	63	63	25
8	78	70	70	30
8	78	70	70	51
75	78	20	9	1
3	78	63	63	25
19	78	65	65	6
32	78	65	65	6
19	108	26	5	3
8	108	29	29	22
8	78	37	37	3
19	78	26	5	3
19	78	0	21	3
19	78	2	82	3
19	78	2	82	3
8	78	2	82	6
19	78	2	82	6
19	78	2	82	6
32	78	2	82	6
19	78	2	82	26
19	78	2	82	22
70	78	53	26	82
80	78	18	94	82
5	78	18	94	25
59	78	10	78	3
75	78	45	45	49
59	78	25	55	49
73	78	71	71	82
70	78	67	67	49
70	78	32	3	3
19	108	22	22	28
48	78	76	76	49
70	86	17	1	40
52	78	11	25	28
12	78	3	90	49
70	108	10	88	3
78	86	32	3	3
70	78	42	42	3
70	86	49	49	3
70	78	45	45	3
73	78	42	42	27
80	108	36	36	90
70	108	36	36	22
70	108	36	36	90
70	78	12	17	3
70	108	5	20	82
70	78	45	45	49
19	108	58	58	49
96	108	58	58	49
96	108	58	58	49
8	78	58	58	22
19	108	58	58	22
19	108	58	58	22
70	86	42	42	3
70	78	42	42	49
78	86	32	3	3
70	86	49	49	3
70	78	45	45	3
73	78	42	42	27
80	108	36	36	90
70	108	36	36	22
70	108	36	36	90
70	78	12	17	3
19	78	53	26	3
49	78	3	90	21
19	78	66	66	56
8	78	66	66	40
52	78	66	66	6
19	108	53	26	3
8	86	29	29	40
19	86	46	46	3
70	108	46	46	3
19	108	66	66	6
70	108	10	88	3
80	78	45	45	90
78	78	32	3	22
70	78	71	71	3
19	86	28	28	25
12	78	3	90	84
8	86	28	28	23
19	86	28	28	23
8	86	28	28	23
8	86	28	28	23
8	86	28	28	3
19	11	28	28	3
8	78	28	28	3
8	78	28	28	3
19	86	0	21	3
19	78	0	21	3
19	78	46	46	40
8	86	17	1	40
19	78	17	1	3
8	86	28	28	23
8	78	16	7	3
19	78	16	7	3
